city,total_population
Москва,11514300.0
Екатеринбург,1350100.0
Казань,1143600.0
Волгоград,1021200.0
Краснодар,744900.0
Тольятти,719500.0
Ульяновск,613800.0
Махачкала,578000.0
Хабаровск,577700.0
Новокузнецк,547900.0
Рязань,525100.0
Чебоксары,453600.0
Иваново,409300.0
Магнитогорск,408400.0
Нижний Тагил,361900.0
Архангельск,348700.0
Сочи,343300.0
Смоленск,326900.0
Чита,323900.0
Волжский,314400.0
Сургут,306700.0
Нижневартовск,251900.0
Новороссийск,241800.0
Дзержинск,240800.0
Шахты,240100.0
Нальчик,240100.0
Старый Оскол,221100.0
Балашиха,215300.0
Бийск,210000.0
Сызрань,178800.0
Каменск-Уральский,174700.0
Мытищи,173300.0
Люберцы,172000.0
Волгодонск,170600.0
Березники,156500.0
Ковров,145500.0
Коломна,144600.0
Копейск,137600.0
Серпухов,126500.0
Первоуральск,124500.0
Новочебоксарск,124100.0
Невинномысск,118400.0
Батайск,111800.0
Октябрьский,109400.0
Ачинск,109200.0
Новокуйбышевск,108400.0
Елец,108400.0
Арзамас,106300.0
Каспийск,103900.0
Элиста,103700.0
Жуковский,102700.0
Междуреченск,102000.0
Сарапул,101400.0
Воткинск,100000.0
